keep,B_10_MIN_BLOCK,B_AGE_CODE,B_REGION,B_BAND_SIZE_CODE,B_BAND_STATUS_CODE,B_BAND_TYPE_CODE,B_BIRD_STATUS,B_COMMENTS,B_COORD_PRECISION,B_COUNTRY_CODE,B_DIRECTION_CODE,B_EXTRA_INFO_CODE,B_FLYWAY_CODE,B_HOW_AGED_CODE,B_HOW_CAPTURED,B_HOW_SEXED_CODE,B_LAT_10_MIN_BLK,B_LAT_DECIMAL_DEGREES,B_LOCATION_DESCRIPTION,B_LOCATION_ID,B_LON_10_MIN_BLK,B_LON_DECIMAL_DEGREES,B_MARKER_LONG_DESC,B_PERMIT_NUM,B_SEX_CODE,B_SPECIES_ID,B_SPECIES_NAME,B_STATE_CODE,BAND_NUM,BANDING_DATE,BANDING_DAY,BANDING_MONTH,BANDING_YEAR,BEARING,DISTANCE,E_10_MIN_BLOCK,E_REGION,E_CAPTURE_TIME,E_COMMENTS,E_COORD_PRECISION,E_COUNTRY_CODE,E_COUNTY_CODE,E_CREATE_DATE,E_CREATE_MONTH,E_CREATE_YEAR,E_DIRECTION_CODE,E_ERROR_CLEARED_DATE,E_FLYWAY_CODE,E_HOW_CAPTURED,E_HOW_OBTAINED_CODE,E_LAT_10_MIN_BLK,E_LAT_DECIMAL_DEGREES,E_LOCATION_DESCRIPTION,E_LOCATION_ID,E_LON_10_MIN_BLK,E_LON_DECIMAL_DEGREES,E_MARKER_LONG_DESC,E_PLACE_NAME,E_PRESENT_CONDITION_CODE,E_SPECIES_ID,E_SPECIES_NAME,E_STATE_CODE,ENC_PERMIT,ENCOUNTER_DATE,ENCOUNTER_DAY,ENCOUNTER_MONTH,ENCOUNTER_YEAR,ENC_ERROR,HSS,MIN_AGE_AT_ENC,ORIGINAL_BAND,OTHER_BANDS,REPORTING_METHOD,SAME_10_MIN_BLOCK
,2910900,6,42,2,0,82,3,,10,US,0,19,2,CC,,,291,29.25,"Grand Isle(Elmers Island), Lafourche Parish Louisiana, United States (Bandit ID: 280800)",292276,900,-90.08333,"LEG FLAG, LEFT LEG ABOVE THE JOINT: 082 WHITE ON DARK GREEN, STYLE - 3VLR;",23760,0,2341,Rufa Red Knot,22,133267244,4/26/2016,26,4,2016,,0,2910900,42,16:50:00,,10,US,57,7/20/2017,7,2017,0,7/20/2017,2,,66,291,29.25,Elmers Island,292276,900,-90.08333,"at capture: LEG FLAG, LEFT LEG ABOVE THE JOINT: 082 WHITE ON DARK GREEN, STYLE - 3VLR;at release: DATA LOGGER/GEOLOCATOR (LEG ATTACHMENT); LEG FLAG, LEFT LEG ABOVE THE JOINT: 082 WHITE ON DARK GREEN, STYLE - 3VLR;",Grand Isle,7,2341,Rufa Red Knot,22,23760,4/24/2017,24,4,2017,,1,2.83,133267244,,14,Y
,2910900,6,42,2,0,82,3,,10,US,0,19,2,CC,,,291,29.25,"Grand Isle(Elmers Island), Lafourche Parish Louisiana, United States (Bandit ID: 280800)",292276,900,-90.08333,"LEG FLAG, LEFT LEG ABOVE THE JOINT: 102 WHITE ON DARK GREEN, STYLE - 3VLR; RADIO TRANSMITTER (GLUE TO SKIN OR FEATHERS);",23760,0,2341,Rufa Red Knot,22,133267261,4/27/2016,27,4,2016,,0,2910900,42,13:00:00,,10,US,57,7/20/2017,7,2017,0,7/20/2017,2,,66,291,29.25,Elmers Island,292276,900,-90.08333,"at capture: LEG FLAG, LEFT LEG ABOVE THE JOINT: 102 WHITE ON DARK GREEN, STYLE - 3VLR;at release: DATA LOGGER/GEOLOCATOR (LEG ATTACHMENT); LEG FLAG, LEFT LEG ABOVE THE JOINT: 102 WHITE ON DARK GREEN, STYLE - 3VLR;",Grand Isle,7,2341,Rufa Red Knot,22,23760,4/23/2017,23,4,2017,,1,2.83,133267261,,14,Y
,2910900,6,42,2,0,82,3,,10,US,0,19,2,CC,,,291,29.25,"Grand Isle(Elmers Island), Lafourche Parish Louisiana, United States (Bandit ID: 280800)",292276,900,-90.08333,"LEG FLAG, LEFT LEG ABOVE THE JOINT: 075 WHITE ON DARK GREEN, STYLE - 3VLR;",23760,0,2341,Rufa Red Knot,22,133267237,4/25/2016,25,4,2016,,0,2910900,42,13:00:00,,10,US,57,7/20/2017,7,2017,0,7/20/2017,2,,66,291,29.25,Elmers Island,292276,900,-90.08333,"at capture: LEG FLAG, LEFT LEG ABOVE THE JOINT: 075 WHITE ON DARK GREEN, STYLE - 3VLR;at release: DATA LOGGER/GEOLOCATOR (LEG ATTACHMENT); LEG FLAG, LEFT LEG ABOVE THE JOINT: 075 WHITE ON DARK GREEN;",Grand Isle,7,2341,Rufa Red Knot,22,23760,4/23/2017,23,4,2017,,1,2.83,133267237,,14,Y
,2910900,6,42,2,0,1,3,,10,US,0,19,2,CC,,,291,29.25,"Grand Isle(Elmers Island), Lafourche Parish Louisiana, United States (Bandit ID: 280800)",292276,900,-90.08333,"LEG FLAG, LEFT LEG ABOVE THE JOINT: 026 WHITE ON DARK GREEN, STYLE - 3VLR;",23760,0,2341,Rufa Red Knot,22,123286770,4/30/2015,30,4,2015,,0,2910900,42,8:57:00,,10,US,57,7/20/2017,7,2017,0,7/20/2017,2,,66,291,29.25,Elmers Island,292276,900,-90.08333,"at capture: LEG FLAG, LEFT LEG ABOVE THE JOINT: 026 WHITE ON DARK GREEN, STYLE - 3VLR;at release: LEG FLAG, LEFT LEG ABOVE THE JOINT: 026 WHITE ON DARK GREEN, STYLE - 3VLR; RADIO TRANSMITTER (GLUE TO SKIN OR FEATHERS);",Grand Isle,7,2341,Rufa Red Knot,22,23760,4/25/2017,25,4,2017,,2,3.83,123286770,,14,Y
,3850751,6,21,2,0,82,3,Mod spp from REKN/2340 per permit provisions --jsm,1,US,0,69,1,PL,Cannon Net,NA,385,38.94167,"Slaughter Beach(Mispillion Harbor - Back Beach), Kent County Delaware, United States (Bandit ID: MISPBACK)",297904,751,-75.30833,LEG FLAG: 60L BLACK ON LIGHT GREEN;,23332,0,2341,Rufa Red Knot,10,133279559,5/16/2017,16,5,2017,S,2.3,3850751,21,11:15:00,,1,US,5,7/6/2017,7,2017,0,,1,Cannon Net,66,385,38.90833,Beach within town limits of Slaughter Beach,295229,751,-75.30833,at capture: LEG FLAG: 60L BLACK ON LIGHT GREEN;at release: LEG FLAG: 60L BLACK ON LIGHT GREEN;,Slaughter Beach,7,2340,Red Knot,10,23332,5/28/2017,28,5,2017,Species Mismatch; ,0,1.92,133279559,,14,Y
,3900745,6,59,2,0,82,3,,10,US,0,69,1,,,,390,39.08333,"4.2 mi WNW from Cape May Court House(Kimbles Beach - south of the road), Cape May County New Jersey, United States (Bandit ID: KIMBLESO)",294077,745,-74.91667,"LEG FLAG, LEFT LEG ABOVE THE JOINT: =YX BLACK ON LIGHT GREEN; FEDERAL METAL BAND, RIGHT LEG BELOW THE JOINT;",22803,0,2341,Rufa Red Knot,34,133268251,5/16/2017,16,5,2017,WSW,23.2,3850751,21,18:45:00,,1,US,1,7/12/2018,7,2018,0,,1,Cannon Net,66,385,38.94167,"Beaches in Mispillion Harbor, 4 km N of Slaughter Beach",293053,751,-75.30833,at capture: LEG FLAG: =YX BLACK ON LIGHT GREEN;at release: LEG FLAG: =YX BLACK ON LIGHT GREEN;,Slaughter Beach,7,2341,Rufa Red Knot,10,23332,5/31/2018,31,5,2018,Record with remarks; ,1,2.92,133268251,,14,N
,3850751,6,21,2,0,82,3,"Status modified, 385 to 369 per remarks -- db",1,US,0,69,1,PL,Cannon Net,PL,385,38.94167,"Slaughter Beach(Beaches in Mispillion Harbor, 4 km N of Slaughter Beach), Kent County Delaware, United States (Bandit ID: MISPILL)",293053,751,-75.30833,LEG FLAG: L+3 BLACK ON LIGHT GREEN;,23332,0,2341,Rufa Red Knot,10,133298147,5/24/2018,24,5,2018,,0,3850751,21,9:35:00,,1,US,1,7/12/2018,7,2018,0,7/19/2018,1,Cannon Net,66,385,38.94167,"Beaches in Mispillion Harbor, 4 km N of Slaughter Beach",293053,751,-75.30833,at capture: LEG FLAG: L+3 BLACK ON LIGHT GREEN;at release: LEG FLAG: L+3 BLACK ON LIGHT GREEN;,Slaughter Beach,7,2341,Rufa Red Knot,10,23332,5/27/2018,27,5,2018,,0,1.92,133298147,,14,Y
,3850751,6,21,2,0,82,3,,1,US,0,0,1,PL,Cannon Net,PL,385,38.94167,"Slaughter Beach(Beaches in Mispillion Harbor, 4 km N of Slaughter Beach), Kent County Delaware, United States (Bandit ID: MISPILL)",293053,751,-75.30833,,23332,0,2341,Rufa Red Knot,10,133298312,5/24/2018,24,5,2018,,0,3850751,21,9:35:00,,1,US,1,7/12/2018,7,2018,0,7/16/2018,1,Cannon Net,66,385,38.94167,"Beaches in Mispillion Harbor, 4 km N of Slaughter Beach",293053,751,-75.30833,,Slaughter Beach,7,2341,Rufa Red Knot,10,23332,5/27/2018,27,5,2018,,0,1.92,133298312,,14,Y
,3900745,6,59,2,0,82,3,,10,US,0,69,1,,,,390,39.08333,"4.2 mi WNW from Cape May Court House(Kimbles Beach - south of the road), Cape May County New Jersey, United States (Bandit ID: KIMBLESO)",294077,745,-74.91667,"LEG FLAG, LEFT LEG ABOVE THE JOINT: =YX BLACK ON LIGHT GREEN; FEDERAL METAL BAND, RIGHT LEG BELOW THE JOINT;",22803,0,2341,Rufa Red Knot,34,133268251,5/16/2017,16,5,2017,WSW,23.2,3850751,21,9:35:00,,1,US,1,7/12/2018,7,2018,0,,1,Cannon Net,66,385,38.94167,"Beaches in Mispillion Harbor, 4 km N of Slaughter Beach",293053,751,-75.30833,at capture: LEG FLAG: =YX BLACK ON LIGHT GREEN;at release: LEG FLAG: =YX BLACK ON LIGHT GREEN;,Slaughter Beach,7,2341,Rufa Red Knot,10,23332,5/27/2018,27,5,2018,Record with remarks; ,1,2.92,133268251,,14,N
,3850751,6,21,2,0,1,3,,10,US,0,1,1,,,,385,38.91667,"SLAUGHTER BEACH, Delaware, United States",33520,751,-75.25,,6961,0,2341,Rufa Red Knot,10,119210077,5/20/2001,20,5,2001,WNW,3.6,3850751,21,9:35:00,,1,US,1,7/12/2018,7,2018,0,,1,Cannon Net,66,385,38.94167,"Beaches in Mispillion Harbor, 4 km N of Slaughter Beach",293053,751,-75.30833,at capture: LEG FLAG: +7E BLACK ON LIGHT GREEN;at release: LEG FLAG: +7E BLACK ON LIGHT GREEN;,Slaughter Beach,7,2341,Rufa Red Knot,10,23332,5/27/2018,27,5,2018,"Record with remarks; Too Old, See Biologist; ",17,18.92,119210077,,14,Y
,3850751,6,21,2,0,82,3,"Status modified, 385 to 369 per remarks -- db",1,US,0,69,1,PL,Cannon Net,PL,385,38.94167,"Slaughter Beach(Beaches in Mispillion Harbor, 4 km N of Slaughter Beach), Kent County Delaware, United States (Bandit ID: MISPILL)",293053,751,-75.30833,LEG FLAG: +4N BLACK ON LIGHT GREEN;,23332,0,2341,Rufa Red Knot,10,133298509,5/15/2018,15,5,2018,,0,3850751,21,9:20:00,,1,US,1,7/12/2018,7,2018,0,,1,Cannon Net,66,385,38.94167,"Beaches in Mispillion Harbor, 4 km N of Slaughter Beach",293053,751,-75.30833,at capture: LEG FLAG: +4N BLACK ON LIGHT GREEN;at release: LEG FLAG: +4N BLACK ON LIGHT GREEN;,Slaughter Beach,7,2341,Rufa Red Knot,10,23332,5/24/2018,24,5,2018,Record with remarks; ,0,1.92,133298509,,14,Y
,3850751,6,21,2,0,50,3,,10,US,0,1,1,,,,385,38.91667,"SLAUGHTER BEACH, Delaware, United States",33520,751,-75.25,,6961,0,2341,Rufa Red Knot,10,117270360,5/21/2003,21,5,2003,WNW,3.6,3850751,21,9:20:00,,1,US,1,7/12/2018,7,2018,0,,1,Cannon Net,66,385,38.94167,"Beaches in Mispillion Harbor, 4 km N of Slaughter Beach",293053,751,-75.30833,at capture: LEG FLAG: 0+U BLACK ON LIGHT GREEN;at release: LEG FLAG: 0+U BLACK ON LIGHT GREEN;,Slaughter Beach,7,2341,Rufa Red Knot,10,23332,5/24/2018,24,5,2018,"Record with remarks; Too Old, See Biologist; ",15,16.92,117270360,,14,Y
,5010634,1,76,2,0,51,3,,1,CA,0,19,6,,,,501,50.225,"Ile de Quarry, Archipel de Minagn, Cote-Nord, Québec, Canada",258412,634,-63.825,MISC.: 59 BLACK ON WHITE;,10700,0,2341,Rufa Red Knot,10,80259174,8/8/2013,8,8,2013,SW,959.8,3850751,21,7:10:00,,1,US,1,7/6/2017,7,2017,0,,1,Cannon Net,66,385,38.94167,"Beaches in Mispillion Harbor, 4 km N of Slaughter Beach",293053,751,-75.30833,at capture: LEG FLAG: 059 BLACK ON WHITE;at release: LEG FLAG: 059 BLACK ON WHITE;,Slaughter Beach,7,2340,Red Knot,10,23332,5/22/2017,22,5,2017,Species Mismatch; Bird Status VS Provisions; ,4,4.92,80259174,,14,N
,5340674,0,5,2,0,50,3,Species modified per data conversion of 03/06/2015,1,AR,2,19,8,,,,534,-53.75833,"Rio Grande, Rio Grande, Tierra del Fuego, Antartida e Islas del Atlantico Sur, Argentina",83658,674,-67.725,PLASTIC COLOR LEG BAND: LLT BLACK ON ORANGE;,10662,0,2341,Rufa Red Knot,23,982204220,10/11/2006,11,10,2006,N,6416.6,3850751,21,7:10:00,,1,US,1,7/6/2017,7,2017,0,,1,Cannon Net,66,385,38.94167,"Beaches in Mispillion Harbor, 4 km N of Slaughter Beach",293053,751,-75.30833,at capture: LEG FLAG: LLT BLACK ON ORANGE;at release: LEG FLAG: LLT BLACK ON ORANGE;,Slaughter Beach,7,2340,Red Knot,10,23332,5/22/2017,22,5,2017,Species Mismatch; Unusual Migration; Bird Status VS Provisions; ,11,10.92,982204220,,14,N
,5340674,0,5,2,0,50,3,Species modified per data conversion of 03/06/2015,1,AR,2,19,8,,,,534,-53.79167,"Punta Popper, Rio Grande, Tierra del Fuego, Antartida e Islas del Atlantico Sur, Argentina",83655,674,-67.675,PLASTIC COLOR LEG BAND: J3X BLACK ON ORANGE;,10662,0,2341,Rufa Red Knot,23,982203669,12/18/2008,18,12,2008,N,6419.1,3850751,21,7:10:00,,1,US,1,7/6/2017,7,2017,0,,1,Cannon Net,66,385,38.94167,"Beaches in Mispillion Harbor, 4 km N of Slaughter Beach",293053,751,-75.30833,at capture: LEG FLAG: J3X BLACK ON ORANGE;at release: LEG FLAG: J3X BLACK ON ORANGE;,Slaughter Beach,7,2340,Red Knot,10,23332,5/22/2017,22,5,2017,Species Mismatch; Unusual Migration; Bird Status VS Provisions; ,9,8.92,982203669,,14,N
,3850751,6,21,2,0,82,3,Mod spp from REKN/2340 per permit provisions --jsm,1,US,0,69,1,PL,Cannon Net,NA,385,38.94167,"Slaughter Beach(Beaches in Mispillion Harbor, 4 km N of Slaughter Beach), Kent County Delaware, United States (Bandit ID: MISPILL)",293053,751,-75.30833,LEG FLAG: 17M BLACK ON LIGHT GREEN;,23332,0,2341,Rufa Red Knot,10,133262950,5/22/2017,22,5,2017,,0,3850751,21,0:00:00,,1,US,1,7/6/2017,7,2017,0,,1,Cannon Net,66,385,38.94167,"Beaches in Mispillion Harbor, 4 km N of Slaughter Beach",293053,751,-75.30833,at capture: LEG FLAG: 17M BLACK ON LIGHT GREEN;at release: LEG FLAG: 17M BLACK ON LIGHT GREEN;,Slaughter Beach,7,2340,Red Knot,10,23332,5/30/2017,30,5,2017,Species Mismatch; ,0,1.92,133262950,,14,Y
,3850751,6,21,2,0,82,3,Mod spp from REKN/2340 per permit provisions --jsm,1,US,0,69,1,PL,Cannon Net,NA,385,38.94167,"Slaughter Beach(Mispillion Harbor - Back Beach), Kent County Delaware, United States (Bandit ID: MISPBACK)",297904,751,-75.30833,LEG FLAG: 7U4 BLACK ON LIGHT GREEN;,23332,0,2341,Rufa Red Knot,10,133276504,5/16/2017,16,5,2017,,0,3850751,21,0:00:00,,1,US,1,7/6/2017,7,2017,0,,1,Cannon Net,66,385,38.94167,"Beaches in Mispillion Harbor, 4 km N of Slaughter Beach",293053,751,-75.30833,at capture: LEG FLAG: 7U4 BLACK ON LIGHT GREEN;at release: LEG FLAG: 7U4 BLACK ON LIGHT GREEN;,Slaughter Beach,7,2340,Red Knot,10,23332,5/30/2017,30,5,2017,Species Mismatch; ,0,1.92,133276504,,14,Y
,3900745,6,59,2,0,82,3,,10,US,0,69,1,,,,390,39.08333,"4.6 mi NW from Cape May Court House(Reeds Beach - North end), Cape May County New Jersey, United States (Bandit ID: REEDSNOR)",294079,745,-74.91667,"LEG FLAG, LEFT LEG ABOVE THE JOINT: ML= BLACK ON LIGHT GREEN; FEDERAL METAL BAND, RIGHT LEG BELOW THE JOINT;",22803,0,2341,Rufa Red Knot,34,133268608,5/19/2017,19,5,2017,WSW,23.2,3850751,21,0:00:00,,1,US,1,7/6/2017,7,2017,0,,1,Cannon Net,66,385,38.94167,"Beaches in Mispillion Harbor, 4 km N of Slaughter Beach",293053,751,-75.30833,at capture: LEG FLAG: ML= BLACK ON LIGHT GREEN;at release: LEG FLAG: ML= BLACK ON LIGHT GREEN;,Slaughter Beach,7,2340,Red Knot,10,23332,5/30/2017,30,5,2017,Species Mismatch; ,0,1.92,133268608,,14,N
