keep,B_10_MIN_BLOCK,B_AGE_CODE,B_REGION,B_BAND_SIZE_CODE,B_BAND_STATUS_CODE,B_BAND_TYPE_CODE,B_BIRD_STATUS,B_COMMENTS,B_COORD_PRECISION,B_COUNTRY_CODE,B_DIRECTION_CODE,B_EXTRA_INFO_CODE,B_FLYWAY_CODE,B_HOW_AGED_CODE,B_HOW_CAPTURED,B_HOW_SEXED_CODE,B_LAT_10_MIN_BLK,B_LAT_DECIMAL_DEGREES,B_LOCATION_DESCRIPTION,B_LOCATION_ID,B_LON_10_MIN_BLK,B_LON_DECIMAL_DEGREES,B_MARKER_LONG_DESC,B_PERMIT_NUM,B_SEX_CODE,B_SPECIES_ID,B_SPECIES_NAME,B_STATE_CODE,BAND_NUM,BANDING_DATE,BANDING_DAY,BANDING_MONTH,BANDING_YEAR,BEARING,DISTANCE,E_10_MIN_BLOCK,E_REGION,E_CAPTURE_TIME,E_CERTIFICATE_FLAG,E_CERTIFICATE_LANGUAGE,E_COMMENTS,E_COORD_PRECISION,E_COUNTRY_CODE,E_COUNTY_CODE,E_CREATE_DATE,E_CREATE_MONTH,E_CREATE_YEAR,E_DIRECTION_CODE,E_ENC_COUNTY_ORIGINAL,E_FLYWAY_CODE,E_HOW_CAPTURED,E_HOW_OBTAINED_CODE,E_LAT_10_MIN_BLK,E_LAT_DECIMAL_DEGREES,E_LOCATION_DESCRIPTION,E_LOCATION_ID,E_LON_10_MIN_BLK,E_LON_DECIMAL_DEGREES,E_MARKER_LONG_DESC,E_PLACE_NAME,E_PRESENT_CONDITION_CODE,E_REPORT_LOCATION_CHOICE,E_SPECIES_NAME,E_STATE_CODE,E_WHO_OBTAINED_CODE,E_WHY_REPORTED_CODE,ENC_PERMIT,ENCOUNTER_DATE,ENCOUNTER_DAY,ENCOUNTER_MONTH,ENCOUNTER_YEAR,HSS,MIN_AGE_AT_ENC,ORIGINAL_BAND,OTHER_BANDS,SAME_10_MIN_BLOCK
,2730824,1,25,2,0,53,3,M,1,US,0,69,1,,,,273,27.64167,"North Beach, Pinellas County Florida, United States",68710,824,-82.74167,LEG FLAG: YL7 BLACK ON LIGHT GREEN;,21980,0,2341,Rufa Red Knot,12,128202073,3/19/2008,19,3,2008,NNW,12.9,2740824,25,,E,E,Enc created from Marker ID#: 95411; ;,0,US,103,5/9/2017,5,2017,0,103,1,,29,274,27.81422,,,824,-82.82111,LEFT LEG BAND #1: DARK BLUE; RIGHT LEG FLAG: YL7 MISCELLANEOUS ON LIGHT BLUE; ,North Redington Beach,13,M,Red Knot,12,21,13,,2/15/2017,15,2,2017,9,9.67,128202073,,N
,3900745,6,59,2A,0,82,3,,10,US,0,19,1,,,,390,39.08333,"GOSHEN, Cape May County New Jersey, United States",58810,745,-74.91667,LEG FLAG: 9K5 BLACK ON LIGHT GREEN;,22803,0,2341,Rufa Red Knot,34,132236468,5/19/2012,19,5,2012,SSW,773.9,2900805,25,,E,E,Enc created from Marker ID#: 89977; ;;,0,US,127,3/6/2017,3,2017,0,127,1,,29,290,29.01028,,,805,-80.86862,LEFT LEG BAND #1: 9K5 BLACK ON LIGHT GREEN; ,Edgewater,13,M,Red Knot,12,21,13,,1/1/2017,1,1,2017,5,6.58,132236468,,N
,3850751,6,21,2,0,82,3,,1,US,0,69,1,1,,,385,38.94167,"Mispillion Harbor, 4 km N of Slaughter Beach, Kent County Delaware, United States",61196,751,-75.30833,LEG FLAG: 4MH BLACK ON LIGHT GREEN;,23332,0,2341,Rufa Red Knot,10,133217065,5/12/2011,12,5,2011,ENE,25.7,3900745,59,,E,E,Enc created from Marker ID#: 191001;  marker confirmed by photo;;;,0,US,9,6/7/2017,6,2017,0,9,1,,29,390,39.12706,Cape May National WIldlife Refuge,,745,-74.89203,LEFT LEG BAND #1: 4MH BLACK ON LIGHT GREEN; ,Reeds Beach,13,WM,Red Knot,34,21,13,,5/17/2017,17,5,2017,6,7.92,133217065,,N
,3900745,6,59,2A,0,82,3,,10,US,0,69,1,,,,390,39.08333,"GOSHEN, Cape May County New Jersey, United States",58810,745,-74.91667,LEG FLAG: 12U BLACK ON LIGHT GREEN;,22803,0,2341,Rufa Red Knot,34,132225481,5/14/2011,14,5,2011,NNE,2.4,3900745,59,,E,E,Enc created from Marker ID#: 190349; ;;,0,US,9,5/19/2017,5,2017,0,9,1,,29,390,39.11267,cooks beach cape may court house nj,,745,-74.89235,LEFT LEG BAND #1: 12U BLACK ON LIGHT GREEN; ,Reeds Beach,13,AM,Rufa Red Knot,34,21,13,,5/14/2017,14,5,2017,6,7.92,132225481,,Y
,3900745,6,59,2A,0,82,3,,10,US,0,69,1,,,,390,39.08333,"GOSHEN, Cape May County New Jersey, United States",58810,745,-74.91667,LEG FLAG: 98T BLACK ON LIGHT GREEN;,22803,0,2341,Rufa Red Knot,34,132225594,5/14/2011,14,5,2011,SW,544,3230801,80,,E,E,"Enc created from Marker ID#: 245621; ; Marker color likely a faded light green instead of yellow, SCP.;;;",11,US,19,4/8/2019,4,2019,0,19,1,,29,323,32.51244,Edisto Island on shoreline. Unsure of exact location.,,801,-80.28302,LEFT LEG FLAG: 98T BLACK ON YELLOW; ,Freedman,7,D,Red Knot,45,21,13,,4/7/2019,7,4,2019,8,9.83,132225594,,N
,3900745,6,59,2A,0,82,3,,10,US,0,69,1,,,,390,39.08333,"GOSHEN, Cape May County New Jersey, United States",58810,745,-74.91667,LEG FLAG: 90U BLACK ON LIGHT GREEN;,22803,0,2341,Rufa Red Knot,34,132236374,5/30/2011,30,5,2011,NE,164.5,4040724,61,,E,E,Enc created from Marker ID#: 193585;,0,US,103,8/2/2017,8,2017,0,103,1,,29,404,40.77622,CUPSOGUE PARK,,724,-72.73093,LEFT LEG FLAG: 90U BLACK ON LIGHT GREEN; ,West Hampton Dunes,13,WM,Red Knot,36,21,13,,8/1/2017,1,8,2017,7,8.17,132236374,,N
,3900745,6,59,2A,0,82,3,,10,US,0,69,1,,,,390,39.08333,"GOSHEN, Cape May County New Jersey, United States",58810,745,-74.91667,LEG FLAG: V6L BLACK ON LIGHT GREEN;,22803,0,2341,Rufa Red Knot,34,132236410,5/27/2011,27,5,2011,NE,155.7,4040725,61,,E,E,Enc created from Marker ID#: 222229; ;,0,US,103,9/20/2018,9,2018,0,103,1,,29,404,40.72365,,,725,-72.90026,LEFT LEG FLAG: A=V BLACK ON GREEN; ,Bellport,13,M,Red Knot,36,21,13,,7/26/2018,26,7,2018,7,9.08,132236410,,N
,3900745,6,59,2A,0,82,3,,10,US,0,19,1,,,,390,39.08333,"GOSHEN, Cape May County New Jersey, United States",58810,745,-74.91667,LEG FLAG: 38P BLACK ON LIGHT GREEN;,22803,0,2341,Rufa Red Knot,34,132225783,5/18/2011,18,5,2011,NE,163.6,4040724,61,,E,E,Enc created from Marker ID#: 222487; ;;,0,US,103,10/4/2018,10,2018,0,103,1,,29,404,40.7694,CUPSOGUE PARK,,724,-72.74501,LEFT LEG BAND #1: 38P BLACK ON LIGHT GREEN; ,West Hampton Dunes,7,WM,Red Knot,36,21,13,,8/20/2018,20,8,2018,8,9.17,132225783,,N
,3900745,6,59,2A,0,82,3,,10,US,0,19,1,,,,390,39.08333,"GOSHEN, Cape May County New Jersey, United States",58810,745,-74.91667,LEG FLAG: 93P BLACK ON LIGHT GREEN;,22803,0,2341,Rufa Red Knot,34,132225953,5/22/2011,22,5,2011,NW,17.8,3910751,59,,E,E,Enc created from Marker ID#: 248211;,0,US,11,5/17/2019,5,2019,0,11,1,,29,391,39.24242,,,751,-75.17718,RIGHT LEG FLAG: 93P BLACK ON LIGHT GREEN; ,Fortescue,7,,Red Knot,34,21,13,,5/14/2019,14,5,2019,8,9.92,132225953,,N
,3900745,6,59,2A,0,82,3,,10,US,0,19,1,,,,390,39.08333,"GOSHEN, Cape May County New Jersey, United States",58810,745,-74.91667,LEG FLAG: 24N BLACK ON LIGHT GREEN;,22803,0,2341,Rufa Red Knot,34,132236075,5/25/2011,25,5,2011,S,10.3,3850745,59,,E,E,Enc created from Marker ID#: 191611; ;,11,US,9,6/19/2017,6,2017,0,9,1,,29,385,38.93511,Reeds Beach,,745,-74.90601,LEFT LEG BAND #2: 24N BLACK ON LIGHT GREEN; ,Cape May,13,D,Red Knot,34,21,13,,5/20/2017,20,5,2017,6,7.92,132236075,,N
,3850751,6,21,2,0,82,3,,1,US,0,19,1,1,,,385,38.94167,"Mispillion Harbor, 4 km N of Slaughter Beach, Kent County Delaware, United States",61196,751,-75.30833,LEG FLAG: 5XN BLACK ON LIGHT GREEN;,23332,0,2341,Rufa Red Knot,10,133217122,5/20/2011,20,5,2011,ENE,25.3,3900745,59,,E,E,,0,US,9,8/9/2018,8,2018,0,9,1,,3,390,39.11493,Reeds Beach,,745,-74.89172,LEFT LEG BAND #1: 5XM BLACK ON LIGHT GREEN; ,Reeds Beach,9,WM,Red Knot,34,21,7,,5/19/2017,19,5,2017,6,7.92,133217122,,N
,4130695,6,47,2,0,81,3,,0,US,0,69,1,1,,X,413,41.61556,"Monomoy Island, Barnstable County Massachusetts, United States",72825,695,-69.99972,LEG FLAG: 235 BLACK ON LIGHT GREEN;,6957,0,2341,Rufa Red Knot,25,133235392,9/12/2011,12,9,2011,SW,859.5,3220802,80,,E,E,Enc created from Marker ID#: 243169;;,11,US,13,3/15/2019,3,2019,0,13,1,,29,322,32.36575,Hunting Island State Park,,802,-80.46566,LEFT LEG FLAG: 235 BLACK ON LIGHT GREEN; ,,13,W,Red Knot,45,21,13,,3/9/2019,9,3,2019,8,9.75,133235392,,N
,4130695,6,47,2,0,81,3,,0,US,0,69,1,1,,X,413,41.61556,"Monomoy Island, Barnstable County Massachusetts, United States",72825,695,-69.99972,LEG FLAG: 1A1 BLACK ON LIGHT GREEN;,6957,0,2341,Rufa Red Knot,25,133235412,9/12/2011,12,9,2011,SW,1054.5,2910810,25,,E,E,Enc created from Marker ID#: 263735;,0,US,127,11/22/2019,11,2019,0,127,1,,29,291,29.21717,,,810,-81.00167,LEFT LEG FLAG: 1A1 BLACK ON LIGHT GREEN; ,Daytona Beach,13,M,Red Knot,12,21,13,,11/21/2019,21,11,2019,9,10.42,133235412,,N
,4130695,6,47,2,0,81,3,,0,US,0,69,1,1,,X,413,41.61556,"Monomoy Island, Barnstable County Massachusetts, United States",72825,695,-69.99972,LEG FLAG: 1A1 BLACK ON LIGHT GREEN;,6957,0,2341,Rufa Red Knot,25,133235412,9/12/2011,12,9,2011,ENE,1,4130695,47,,N,E,Enc created from Marker ID#: 196291;,0,US,1,9/15/2017,9,2017,0,1,1,,29,413,41.62173,,,695,-69.98248,LEFT LEG FLAG: 1A1 BLACK ON LIGHT GREEN; ,Shooters Island,13,M,Red Knot,25,21,13,,9/10/2017,10,9,2017,7,8.25,133235412,,Y
,3900745,6,59,2,0,82,3,,10,US,0,19,1,,,,390,39.08333,"GOSHEN, Cape May County New Jersey, United States",58810,745,-74.91667,LEG FLAG: Y58 LIGHT GREEN;,22803,0,2341,Rufa Red Knot,34,133228109,5/15/2013,15,5,2013,NNE,2.9,3900745,59,,E,E,,0,US,9,6/19/2019,6,2019,0,9,1,,29,390,39.12038,,,745,-74.89107,LEFT LEG FLAG: Y58 BLACK ON LIGHT GREEN; ,Reeds Beach,13,,Red Knot,34,21,7,,5/18/2019,18,5,2019,6,7.92,133228109,,Y
,3900745,6,59,2,0,82,3,,10,US,0,19,1,,,,390,39.08333,"GOSHEN, Cape May County New Jersey, United States",58810,745,-74.91667,LEG FLAG: Y62 LIGHT GREEN;,22803,0,2341,Rufa Red Knot,34,133228113,5/15/2013,15,5,2013,NE,322.3,4140695,47,,E,E,Enc created from Marker ID#: 224343;,0,US,1,10/18/2018,10,2018,0,1,1,,29,414,41.81052,,,695,-69.93659,LEFT LEG FLAG: Y62 BLACK ON GREEN; ,Nauset Heights,7,M,Red Knot,25,21,13,,8/31/2018,31,8,2018,6,7.17,133228113,,N
,3910751,6,59,2,0,82,3,,10,US,0,19,1,,,,391,39.25,"BEN DAVIS PT, Cumberland County New Jersey, United States",8867,751,-75.25,LEG FLAG: T23 LIGHT GREEN;,22803,0,2341,Rufa Red Knot,34,133228145,5/17/2013,17,5,2013,SSW,535.9,3230800,80,,E,E,Band number auto-assigned.,0,US,19,3/20/2020,3,2020,0,19,1,,29,323,32.57602,,,800,-80.14985,LEFT LEG FLAG: T23 BLACK ON LIGHT GREEN; ,Seabrook Island,7,M,RUFA RED KNOT,45,21,13,,3/19/2020,19,3,2020,7,8.75,133228145,,N
,3900745,6,59,2,0,82,3,,10,US,0,19,1,,,,390,39.08333,"GOSHEN, Cape May County New Jersey, United States",58810,745,-74.91667,LEG FLAG: V75 LIGHT GREEN;,22803,0,2341,Rufa Red Knot,34,133228182,5/22/2013,22,5,2013,SSW,222.7,3550755,63,,E,E,Enc created from Marker ID#: 247869; Updated coord prec per remarks--CSH;,0,US,55,5/10/2019,5,2019,0,55,1,,29,355,35.96726,Cape Hatteras National Seashore,,755,-75.96726,LEFT LEG FLAG: V75 BLACK ON LIGHT GREEN; ,,13,,Red Knot,37,21,13,,5/7/2019,7,5,2019,6,7.92,133228182,,N
,3900745,6,59,2,0,82,3,,10,US,0,19,1,,,,390,39.08333,"GOSHEN, Cape May County New Jersey, United States",58810,745,-74.91667,LEG FLAG: T39 LIGHT GREEN;,22803,0,2341,Rufa Red Knot,34,133228210,5/15/2013,15,5,2013,SSW,281.1,3500755,63,,E,E,Enc created from Marker ID#: 247865; Updated coord prec per remarks--CSH;,0,US,55,5/10/2019,5,2019,0,55,1,,29,350,35.09917,Cape Hatteras National Seashore,,755,-75.96445,LEFT LEG FLAG: T39 BLACK ON LIGHT GREEN; ,,13,,Red Knot,37,21,13,,5/7/2019,7,5,2019,6,7.92,133228210,,N
,3900745,6,59,2,0,82,3,,10,US,0,19,1,,,,390,39.08333,"GOSHEN, Cape May County New Jersey, United States",58810,745,-74.91667,LEG FLAG: U03 LIGHT GREEN;,22803,0,2341,Rufa Red Knot,34,133228313,5/15/2013,15,5,2013,NNE,3.3,3900745,59,,E,E,Band number auto-assigned.;;,0,US,9,5/25/2017,5,2017,0,9,1,,29,390,39.12686,,,745,-74.89195,LEFT LEG FLAG: U03 BLACK ON LIGHT GREEN; ,Reeds Beach,13,M,Rufa Red Knot,34,21,13,,5/17/2017,17,5,2017,4,5.92,133228313,,Y
,3910751,6,59,2,0,82,3,,10,US,0,19,1,,,,391,39.25,"BEN DAVIS PT, Cumberland County New Jersey, United States",8867,751,-75.25,LEG FLAG: X60 LIGHT GREEN;,22803,0,2341,Rufa Red Knot,34,133228754,5/28/2013,28,5,2013,S,23.5,3850751,21,,E,E,Enc created from Marker ID#: 216797;,11,US,5,7/23/2018,7,2018,0,5,1,,29,385,38.91289,North end of the beach,,751,-75.30408,LEFT LEG FLAG: X60 BLACK ON LIGHT GREEN; ,Slaughter Beach,13,D,Red knot,10,21,13,,5/13/2018,13,5,2018,5,6.92,133228754,,N
,3910751,6,59,2,0,82,3,,10,US,0,19,1,,,,391,39.25,"BEN DAVIS PT, Cumberland County New Jersey, United States",8867,751,-75.25,LEG FLAG: U80 LIGHT GREEN;,22803,0,2341,Rufa Red Knot,34,133228833,5/25/2013,25,5,2013,ESE,21.4,3900745,59,,E,E,Enc created from Marker ID#: 190271;  marker corrected per email from finder;;,0,US,9,5/18/2017,5,2017,0,9,1,,29,390,39.11277,"reeds beach, cape may court house, nj",,745,-74.89161,LEFT LEG BAND #2: U80 BLACK ON LIGHT GREEN; ,Reeds Beach,13,AM,Red Knot,34,21,13,,5/14/2017,14,5,2017,4,5.92,133228833,,N
,3910751,6,59,2,0,82,3,,10,US,0,19,1,,,,391,39.25,"BEN DAVIS PT, Cumberland County New Jersey, United States",8867,751,-75.25,LEG FLAG: U80 LIGHT GREEN;,22803,0,2341,Rufa Red Knot,34,133228833,5/25/2013,25,5,2013,ESE,21,3900745,59,,E,E,Enc created from Marker ID#: 191009; ;;;,0,US,9,6/7/2017,6,2017,0,9,1,,29,390,39.12706,Cape May National WIldlife Refuge,,745,-74.89186,LEFT LEG BAND #1: U80 BLACK ON LIGHT GREEN; ,Reeds Beach,13,WM,Red Knot,34,21,13,,5/17/2017,17,5,2017,4,5.92,133228833,,N
,3910751,6,59,2,0,82,3,,10,US,0,19,1,,,,391,39.25,"BEN DAVIS PT, Cumberland County New Jersey, United States",8867,751,-75.25,LEG FLAG: U80 LIGHT GREEN;,22803,0,2341,Rufa Red Knot,34,133228833,5/25/2013,25,5,2013,ESE,20.9,3900745,59,,E,E,Enc created from Marker ID#: 191465;  marker confirmed by photo;;;,0,US,9,6/15/2017,6,2017,0,9,1,,29,390,39.12736,"Cape May, New Jersey - Reed Beach",,745,-74.89242,RIGHT LEG BAND #1: U80 BLACK ON LIGHT GREEN; ,Reeds Beach,13,WM,Red Knot,34,21,13,,5/16/2017,16,5,2017,4,5.92,133228833,,N
,3900745,6,59,2,0,82,3,,10,US,0,19,1,,,,390,39.08333,"GOSHEN, Cape May County New Jersey, United States",58810,745,-74.91667,LEG FLAG: N87 LIGHT GREEN;,22803,0,2341,Rufa Red Knot,34,133253116,5/29/2013,29,5,2013,NNE,3.3,3900745,59,,E,E,Enc created from Marker ID#: 190457; ;,0,US,9,5/22/2017,5,2017,0,9,1,,29,390,39.12722,Reeds Beach,,745,-74.8925,LEFT LEG BAND #1: N87 BLACK ON LIGHT GREEN; ,Reeds Beach,13,C1,Red Knot,34,21,13,,5/19/2017,19,5,2017,4,5.92,133253116,,Y
,3900745,6,59,2,0,82,3,,10,US,0,19,1,,,,390,39.08333,"GOSHEN, Cape May County New Jersey, United States",58810,745,-74.91667,LEG FLAG: N87 LIGHT GREEN;,22803,0,2341,Rufa Red Knot,34,133253116,5/29/2013,29,5,2013,NNE,3.3,3900745,59,,E,E,Enc created from Marker ID#: 191007;  marker confirmed by photo;;;,0,US,9,6/7/2017,6,2017,0,9,1,,29,390,39.12706,Cape May National WIldlife Refuge,,745,-74.89186,LEFT LEG BAND #1: N87 BLACK ON LIGHT GREEN; ,Reeds Beach,13,WM,Red Knot,34,21,13,,5/17/2017,17,5,2017,4,5.92,133253116,,Y
,3900745,6,59,2,0,82,3,,10,US,0,19,1,,,,390,39.08333,"GOSHEN, Cape May County New Jersey, United States",58810,745,-74.91667,LEG FLAG: N87 LIGHT GREEN;,22803,0,2341,Rufa Red Knot,34,133253116,5/29/2013,29,5,2013,SE,3911.2,500362,10,,E,E,,11,BR,0,4/30/2019,4,2019,2,0,8,,29,50,-5.08,Reserva Ponta do Tubarão (Shark's Point Reserve),,362,-36.48139,LEG FLAG: N87 BLACK ON LIGHT GREEN,Macau,7,,Rufa Red Knot,22,21,12,,4/14/2019,14,4,2019,6,7.83,133253116,,N
